"hotelId","id","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12","images/13","images/14","images/15","images/16","images/17","images/18","images/19","propertyResponse","rating","reviewDate","reviewOriginalLanguage","reviewPage","reviewTextParts","reviewTextParts/Disliked","reviewTextParts/Liked","reviewTitle","roomInfo","startUrl","stayDate","stayLength","travelerType","userAvatar","userLocation","userName"
"gr/peninsula-agia-pelagia","198908a70a917d51",,,,,,,,,,,,,,,,,,,,,,"10","September 1, 2021",,"1",,"The Air conditioner had a very bad smell when we used it. This smell was also to the main pool where the AC had the ventilators.  Also the balcony was not perfectly closed to protect your intimacy, so during our stay three times we were bothered by the neighbours looking into our room through balcony, wich is very unconfortable .","This resort was a beautiful place where we got relax on the various beaches or pools ( main pool, salted water pool, kids pool with slides), enjoyed good food and splendid views, we got relaxing massages for adults and kids, and also practiced a lot of activities ( basketball, scubadiving) we also rented a boat, we have done quad safari, visited museums in Heraklion and Cretaquarium. The staff is very helpful every time we asked them for anything.","Best 2 weeks spent there","Two-Bedroom Family Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","August 2021","14 nights","Family","https://graph.facebook.com/v2.9/10209831945816218/picture?type=square&height=64&width=64","Belgium","George"
"gr/peninsula-agia-pelagia","67fa3a9e0d3c166d",,,,,,,,,,,,,,,,,,,,,,"9.0","November 29, 2023",,"1",,"The spa was disappointing. I went for a deep cleansing facial and the lady put tinted moisturizer on my face and pretended that she did such an amazing job. I don’t wear makeup so this was quite annoying when the purpose of my visit was for a deep clean. The massage was not great either. The ladies were kind but I regret going.
The entertainment had good energy for kids but was too loud and harmful to the hearing of the kids they called to come to the stage. I requested them to lower the volume but was disregarded multiple times over our two week stay. Also one of the French guys who did entertainment was very rude when we asked to turn down the volume.","Beautiful hotel, excellent buffet selection (especially the seafood night), great views!! I would recommend this resort to anyone who doesn’t want to leave their location they have everything you need and multiple areas to enjoy the view. Great for couples and families. The cocktails by the beach were excellent. The front desk was very kind and accommodating. You are able to take a bus into town from the hotel or book day trips.","Highly recommend for great views and food","Double or Twin Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","September 2023","14 nights","Family","https://lh3.googleusercontent.com/a/AEdFTp7NcjRTUoxtVE1GJi1arteCfoH4gUhh4F9vHC9neg=s96-c","United States of America","Deanna"
"gr/peninsula-agia-pelagia","37bfb039c4a54b8f",,,,,,,,,,,,,,,,,,,,,,"10","November 6, 2023",,"1",,"NA","Amazing stay at the end of season. Staff was vert good - we have got an upgraded room and it was available 4 hours earlier than check-in, so our vacation started early. It had amazing view from room and good choice of food. Nature around was big plus as we have enjoyed plenty of walks as well as visited all 4 beaches nearby.","Exceptional","Double or Twin Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","4 nights","Couple","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","Poland","Kateryna"
"gr/peninsula-agia-pelagia","2bb539de91350958",,,,,,,,,,,,,,,,,,,,,,"9.0","November 5, 2023",,"1",,"Bit too big for us","Beautiful location, clean and comfortable","Lovely views. Very clean and comfortable resort","Double or Twin Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","September 2023","2 nights","Couple","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","United Kingdom","Karen"
"gr/peninsula-agia-pelagia","0aa2d38e3055e370",,,,,,,,,,,,,,,,,,,,,,"10","October 29, 2023",,"1",,"Nothing","Fantastic service, excellent quality food and outstanding facilities
Special call out to Bobby and Claudio in the restaurant for making the stay so wonderful
Thank you for a great holiday","Exceptional","Two-Bedroom Family Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","7 nights","Family","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","United Kingdom","Alyona"
"gr/peninsula-agia-pelagia","42e95ab5f3fa9579","https://cf.bstatic.com/xdata/images/xphoto/max1280x900/285601992.jpg?k=36a42d2f33e4c65687a7c691c0afca25bb08e297df271f8d884d9789e62c36b8&o=","https://cf.bstatic.com/xdata/images/xphoto/max1280x900/285602014.jpg?k=c00a6fed85c91fd81c6ce87f781cb74e9b69d4b8196d9802a1f84f7f2256dde8&o=",,,,,,,,,,,,,,,,,,,,"10","October 26, 2023",,"1",,,"It was spacious, clean and bright.","It was a most relaxing and enjoyable stay.","Two-Bedroom Bungalow with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","3 nights","Family","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","United Kingdom","Ammi"
"gr/peninsula-agia-pelagia","b7e03dd119d7efdf",,,,,,,,,,,,,,,,,,,,,,"9.0","October 23, 2023",,"1",,,"Great food and good variety of food . Had a lovely sea view room and balcony","Lovely hotel","Double or Twin Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","7 nights","Family","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","United Kingdom","Karen"
"gr/peninsula-agia-pelagia","0325f18768720497",,,,,,,,,,,,,,,,,,,,,,"8.0","October 22, 2023",,"1",,"Pillows.","Location. The view. Pools and sea.","Nice place and lovely staff.","Double or Twin Room with Sea View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","7 nights","Family","https://graph.facebook.com/v2.9/10153967090587280/picture?type=square&height=64&width=64","Estonia","Janika"
"gr/peninsula-agia-pelagia","f3a2ed98d6ec4c30",,,,,,,,,,,,,,,,,,,,,,"10","October 19, 2023",,"1",,"Being on an all-inclusive basis, I feel that drinks should be available free of charge also at the platform area, as well as the seawater pool.  It is very annoying that this is not provided.  The French entertainment is also too loud and other nationalities feel excluded.  The alcoholic drinks and cocktails should be improved quality wise.  There was a huge difference between the all inclusive gin and tonic, and the upgraded one which one has to pay for. If you enjoy walking, this place is very hilly, so it might not be ideal.","The location and views are amazing.  Staff were very helpful and accommodating to our needs.  Food was varied and well presented at every meal.  We got an upgrade to a seaview room, which was lovely!  Seawater pool is very nice, as is the concrete platform near the sea.","A good all inclusive relaxing holiday","Double or Twin Room with Mountain View","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","7 nights","Family","https://lh3.googleusercontent.com/a-/AOh14GgPevXXQL91Yp2Q-RTijaaZqAldAfi0Pp5rwuCx=s96-c","Malta","Alexandra"
"gr/peninsula-agia-pelagia","8dfd35de01c0d50e",,,,,,,,,,,,,,,,,,,,,,"10","October 13, 2023",,"1",,,"Amazing hotel with amazing people! Food was exceptional! We loved every day touch how the decorated the food, changed decor. Every day entertainment. Cleaning stuff were amazing and detailed oriented as well. We loved our stay and the whole experience!","Amazing hotel with amazing people who make your stay unbelievable","Family Suite","https://www.booking.com/hotel/gr/peninsula-agia-pelagia.pt-br.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaLsBiAEBmAEtuAEXyAEM2AEB6AEB-AELiAIBqAIDuALUqsSuBsACAdICJDA2Y2QxMDdjLWM4NGItNDVhNy1hYjdjLTE1ZTAzMzNiYmUxOdgCBuACAQ&sid=f18cb1227ca7f7db308b77bbaaa8d0b8&all_sr_blocks=34087707_88569920_2_85_0;checkin=2024-06-11;checkout=2024-06-14;dest_id=811;dest_type=region;dist=0;group_adults=2;group_children=0;hapos=3;highlighted_blocks=34087707_88569920_2_85_0;hpos=3;matching_block_id=34087707_88569920_2_85_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=34087707_88569920_2_85_0__54420;srepoch=1708285644;srpvid=8f4d8b230be202ed;type=total;ucfs=1&#hotelTmpl","October 2023","5 nights","Family","https://lh6.googleusercontent.com/-uPNxP2kPotw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqINxMnMtosrVAPBdGWBjKWQe9Kg/s96-c/photo.jpg","United Kingdom","Maryna"
